# 内置混淆集。见 doc.md §12.3、§6.8。
# 格式：错误形<Tab>建议<Tab>上下文正则(可空)<Tab>说明(可空)
# 以 # 开头的行、空行忽略。用户在 dict/confusion.tsv 里的条目会追加/覆盖到这里。
#
# 收录原则（§2.2）：只放**高精度**条目——错误形几乎总是错的。
# 在/再、做/作、他/她/它 这类单字混淆高度依赖语境，规则引擎做不好、误报极高，
# 一律不放进默认集；用户可按自己的稿子在 dict/confusion.tsv 里加带上下文正则的条目。
#
# 成语 / 固定搭配的错写
如火如茶	如火如荼		「荼」误作「茶」
迫不急待	迫不及待		「及」误作「急」
不径而走	不胫而走		「胫」误作「径」
一如继往	一如既往		「既」误作「继」
心急如粪	心急如焚		「焚」误作「粪」
再接再励	再接再厉		「厉」误作「励」
按耐	按捺		「按捺不住」，「捺」误作「耐」
甘败下风	甘拜下风		「拜」误作「败」
世外桃园	世外桃源		「源」误作「园」
走头无路	走投无路		「投」误作「头」
名符其实	名副其实		「副」误作「符」
黄梁一梦	黄粱一梦		「粱」误作「梁」
病入膏盲	病入膏肓		「肓」误作「盲」
张慌	张皇		「皇」误作「慌」
喝采	喝彩		「彩」误作「采」
# 常见别字（错误形基本总是错）
既使	即使		「即使」误作「既使」
布署	部署		「部署」误作「布署」
爆发户	暴发户		「暴」误作「爆」
渡过难关	度过难关	难关	「度过」用于时间/难关，「渡过」用于水面
